food,caloric value,carbohydrates,protein,fat,free sugar (g),fibre (g),sodium (mg),calcium (mg),iron (mg),vitamin c (mg),folate (µg)
,495.0,54.1,41.8,,,,718.0,,,,
,280.0,48.9,48.4,,,,578.0,,,,
,482.0,69.4,41.2,,,,290.0,,,,
,574.0,27.4,43.2,,,,345.0,,,,
,207.0,84.4,1.9,,,,5.0,,,,
,215.0,86.7,33.2,,,,507.0,,,,
,137.0,45.0,11.9,,,,430.0,,,,
,113.0,32.3,42.4,,,,638.0,,,,
,83.0,84.5,25.3,,,,584.0,,,,
,180.0,88.0,44.1,,,,200.0,,,,
,546.0,27.1,47.0,,,,523.0,,,,
,238.0,43.4,50.0,,,,423.0,,,,
,600.0,58.4,27.1,,,,213.0,,,,
,517.0,67.2,3.7,,,,907.0,,,,
,227.0,18.1,11.8,,,,339.0,,,,
,366.0,60.0,12.5,,,,66.0,,,,
,394.0,41.2,23.5,,,,45.0,,,,
,117.0,58.8,49.7,,,,17.0,,,,
,170.0,54.0,39.5,,,,307.0,,,,
,316.0,20.1,13.0,,,,381.0,,,,
,183.0,6.1,14.8,,,,330.0,,,,
,208.0,84.6,25.3,,,,403.0,,,,
,247.0,53.1,23.7,,,,408.0,,,,
,521.0,52.5,16.2,,,,692.0,,,,
,535.0,91.8,17.8,,,,878.0,,,,
,502.0,64.8,40.8,,,,112.0,,,,
,108.0,81.6,44.5,,,,385.0,,,,
,484.0,10.6,31.2,,,,450.0,,,,
,399.0,70.9,5.6,,,,119.0,,,,
,98.0,63.2,41.9,,,,730.0,,,,
,239.0,55.5,47.7,,,,315.0,,,,
,417.0,99.8,1.1,,,,172.0,,,,
,592.0,10.6,31.4,,,,499.0,,,,
,117.0,10.3,26.0,,,,52.0,,,,
,436.0,78.4,8.6,,,,510.0,,,,
,317.0,17.2,31.5,,,,460.0,,,,
,548.0,55.8,43.0,,,,784.0,,,,
,112.0,82.4,23.5,,,,546.0,,,,
,449.0,68.9,3.0,,,,841.0,,,,
,374.0,87.5,40.7,,,,766.0,,,,
,317.0,12.4,24.5,,,,617.0,,,,
,257.0,57.7,1.2,,,,853.0,,,,
,504.0,16.4,40.4,,,,726.0,,,,
,505.0,35.8,9.8,,,,725.0,,,,
,179.0,43.0,34.2,,,,747.0,,,,
,330.0,41.0,38.2,,,,569.0,,,,
,115.0,9.6,41.7,,,,734.0,,,,
,109.0,62.1,34.1,,,,362.0,,,,
,195.0,62.8,22.9,,,,789.0,,,,
,463.0,78.2,33.0,,,,20.0,,,,
,96.0,15.3,48.2,,,,243.0,,,,
,525.0,36.0,40.0,,,,120.0,,,,
,545.0,80.1,21.7,,,,750.0,,,,
,180.0,57.1,47.8,,,,446.0,,,,
,212.0,62.1,2.8,,,,342.0,,,,
,443.0,19.4,43.0,,,,387.0,,,,
,306.0,97.4,22.7,,,,357.0,,,,
,357.0,28.2,36.2,,,,437.0,,,,
,251.0,50.1,22.9,,,,839.0,,,,
,186.0,30.4,46.7,,,,884.0,,,,
,367.0,30.6,3.1,,,,846.0,,,,
,132.0,41.9,48.8,,,,363.0,,,,
,369.0,31.8,25.7,,,,154.0,,,,
,376.0,45.3,9.3,,,,445.0,,,,
,358.0,11.9,16.0,,,,703.0,,,,
,331.0,23.4,13.5,,,,517.0,,,,
,92.0,35.9,28.5,,,,168.0,,,,
,353.0,61.5,22.0,,,,325.0,,,,
,392.0,56.0,25.2,,,,25.0,,,,
,444.0,86.0,18.7,,,,476.0,,,,
,71.0,40.9,20.0,,,,168.0,,,,
,464.0,11.3,5.6,,,,751.0,,,,
,592.0,46.3,6.0,,,,670.0,,,,
,80.0,84.8,1.2,,,,486.0,,,,
,108.0,78.0,34.2,,,,737.0,,,,
,358.0,42.0,31.5,,,,362.0,,,,
,237.0,34.5,23.2,,,,488.0,,,,
,296.0,28.9,45.1,,,,797.0,,,,
,535.0,65.6,13.0,,,,537.0,,,,
,410.0,13.8,20.4,,,,99.0,,,,
,221.0,34.3,8.9,,,,579.0,,,,
,489.0,26.7,28.0,,,,157.0,,,,
,172.0,93.8,22.8,,,,608.0,,,,
,429.0,95.0,34.7,,,,164.0,,,,
,560.0,61.5,32.6,,,,574.0,,,,
,170.0,66.0,44.5,,,,774.0,,,,
,149.0,53.3,16.2,,,,373.0,,,,
,88.0,53.0,14.3,,,,853.0,,,,
,476.0,69.9,46.1,,,,442.0,,,,
,258.0,88.1,8.5,,,,146.0,,,,
,272.0,33.2,44.7,,,,541.0,,,,
,585.0,89.5,34.1,,,,192.0,,,,
,303.0,12.0,41.8,,,,208.0,,,,
,480.0,35.0,7.3,,,,484.0,,,,
,119.0,79.6,21.5,,,,576.0,,,,
,219.0,17.1,12.1,,,,949.0,,,,
,336.0,99.3,49.2,,,,328.0,,,,
,193.0,53.8,29.9,,,,886.0,,,,
,447.0,88.5,45.1,,,,269.0,,,,
,596.0,97.0,40.8,,,,971.0,,,,
,523.0,39.8,24.1,,,,933.0,,,,
,187.0,7.4,21.4,,,,714.0,,,,
,325.0,79.3,13.6,,,,137.0,,,,
,149.0,51.5,34.4,,,,419.0,,,,
,528.0,34.2,49.4,,,,891.0,,,,
,52.0,7.2,19.3,,,,825.0,,,,
,251.0,80.9,5.8,,,,760.0,,,,
,358.0,73.1,43.5,,,,30.0,,,,
,313.0,63.2,25.4,,,,266.0,,,,
,186.0,38.1,39.6,,,,771.0,,,,
,73.0,85.4,13.3,,,,478.0,,,,
,399.0,26.1,9.8,,,,722.0,,,,
,413.0,58.6,4.6,,,,19.0,,,,
,581.0,62.3,25.1,,,,962.0,,,,
,495.0,66.4,26.4,,,,613.0,,,,
,187.0,61.4,38.1,,,,559.0,,,,
,355.0,20.9,32.4,,,,977.0,,,,
,555.0,75.4,31.4,,,,239.0,,,,
,326.0,65.4,12.2,,,,431.0,,,,
,376.0,44.1,11.8,,,,792.0,,,,
,579.0,30.1,19.6,,,,382.0,,,,
,206.0,92.9,19.9,,,,660.0,,,,
,163.0,37.4,36.7,,,,826.0,,,,
,558.0,87.9,6.5,,,,137.0,,,,
,156.0,24.1,39.4,,,,858.0,,,,
,283.0,98.5,34.9,,,,647.0,,,,
,490.0,18.4,45.6,,,,836.0,,,,
,260.0,34.6,5.7,,,,690.0,,,,
,441.0,59.1,43.1,,,,256.0,,,,
,70.0,45.6,47.7,,,,87.0,,,,
,109.0,22.3,12.9,,,,687.0,,,,
,307.0,32.9,3.4,,,,564.0,,,,
,561.0,72.1,8.2,,,,681.0,,,,
,54.0,91.4,32.7,,,,598.0,,,,
,491.0,58.8,19.5,,,,889.0,,,,
,598.0,45.7,31.4,,,,73.0,,,,
,458.0,35.1,13.1,,,,174.0,,,,
,89.0,85.4,33.4,,,,205.0,,,,
,184.0,26.4,42.2,,,,330.0,,,,
,237.0,51.6,20.7,,,,111.0,,,,
,453.0,16.2,28.9,,,,89.0,,,,
,364.0,90.4,22.2,,,,788.0,,,,
,509.0,24.6,19.7,,,,28.0,,,,
,301.0,90.1,17.5,,,,920.0,,,,
,527.0,18.2,47.8,,,,877.0,,,,
,444.0,59.9,28.2,,,,449.0,,,,
,513.0,93.0,12.2,,,,885.0,,,,
,508.0,77.5,2.6,,,,148.0,,,,
,504.0,68.1,13.5,,,,217.0,,,,
,217.0,54.2,32.8,,,,162.0,,,,
,266.0,32.8,36.7,,,,582.0,,,,
,227.0,17.0,6.2,,,,208.0,,,,
,203.0,45.8,18.3,,,,105.0,,,,
,461.0,62.8,26.8,,,,518.0,,,,
,552.0,95.7,27.0,,,,241.0,,,,
,440.0,18.8,46.0,,,,428.0,,,,
,170.0,57.7,20.7,,,,602.0,,,,
,573.0,97.1,10.1,,,,499.0,,,,
,95.0,22.4,31.7,,,,233.0,,,,
,113.0,98.3,42.7,,,,145.0,,,,
,236.0,34.7,1.2,,,,342.0,,,,
,248.0,75.7,4.4,,,,28.0,,,,
,362.0,65.7,5.8,,,,893.0,,,,
,161.0,53.6,38.3,,,,348.0,,,,
,385.0,46.1,47.0,,,,501.0,,,,
,472.0,71.1,3.6,,,,123.0,,,,
,263.0,22.2,29.9,,,,464.0,,,,
,590.0,69.9,10.9,,,,359.0,,,,
,546.0,82.7,10.1,,,,978.0,,,,
,507.0,84.7,13.5,,,,958.0,,,,
,392.0,54.9,19.9,,,,660.0,,,,
,463.0,20.1,42.3,,,,423.0,,,,
,571.0,71.1,8.8,,,,352.0,,,,
,478.0,26.5,27.5,,,,921.0,,,,
,253.0,98.7,23.8,,,,402.0,,,,
,137.0,10.7,4.9,,,,863.0,,,,
,181.0,86.2,36.1,,,,89.0,,,,
,406.0,59.6,5.7,,,,611.0,,,,
,87.0,58.0,24.3,,,,538.0,,,,
,390.0,54.4,10.1,,,,792.0,,,,
,284.0,94.0,42.5,,,,756.0,,,,
,461.0,99.2,15.3,,,,904.0,,,,
,162.0,75.1,2.0,,,,67.0,,,,
,196.0,85.8,44.6,,,,781.0,,,,
,363.0,94.1,25.2,,,,534.0,,,,
,349.0,97.6,3.9,,,,323.0,,,,
,420.0,20.2,23.7,,,,399.0,,,,
,233.0,32.6,10.7,,,,191.0,,,,
,212.0,73.3,17.9,,,,74.0,,,,
,507.0,40.8,6.8,,,,90.0,,,,
,579.0,33.3,27.7,,,,289.0,,,,
,218.0,75.3,3.2,,,,342.0,,,,
,455.0,98.6,36.6,,,,388.0,,,,
,223.0,13.1,40.6,,,,176.0,,,,
,547.0,26.0,31.2,,,,538.0,,,,
,389.0,77.0,22.8,,,,131.0,,,,
,240.0,48.2,26.3,,,,151.0,,,,
,535.0,7.7,23.4,,,,737.0,,,,
,449.0,14.8,32.0,,,,603.0,,,,
,558.0,32.3,3.1,,,,960.0,,,,
,120.0,90.9,17.1,,,,823.0,,,,
,59.0,21.9,45.7,,,,817.0,,,,
,571.0,83.7,20.3,,,,812.0,,,,
,483.0,99.3,22.2,,,,92.0,,,,
,231.0,16.1,21.7,,,,865.0,,,,
,53.0,20.3,18.9,,,,13.0,,,,
,400.0,38.9,34.1,,,,265.0,,,,
,181.0,25.5,42.4,,,,592.0,,,,
,93.0,65.2,23.5,,,,867.0,,,,
,475.0,64.9,48.9,,,,539.0,,,,
,362.0,19.3,46.7,,,,213.0,,,,
,75.0,44.7,37.5,,,,43.0,,,,
,421.0,6.0,43.2,,,,273.0,,,,
,457.0,68.9,49.5,,,,47.0,,,,
,367.0,29.8,9.1,,,,230.0,,,,
,232.0,77.5,45.3,,,,825.0,,,,
,71.0,35.5,31.5,,,,807.0,,,,
,264.0,64.4,1.6,,,,431.0,,,,
,499.0,39.5,32.3,,,,878.0,,,,
,395.0,60.7,23.4,,,,434.0,,,,
,339.0,72.0,17.8,,,,884.0,,,,
,218.0,6.6,33.5,,,,457.0,,,,
,175.0,84.0,5.2,,,,338.0,,,,
,241.0,67.7,18.7,,,,212.0,,,,
,554.0,65.4,9.4,,,,284.0,,,,
,158.0,62.3,19.4,,,,703.0,,,,
,146.0,95.4,30.3,,,,849.0,,,,
,465.0,29.8,21.7,,,,587.0,,,,
,421.0,95.5,6.7,,,,24.0,,,,
,540.0,99.0,30.1,,,,308.0,,,,
,113.0,39.7,2.3,,,,488.0,,,,
,238.0,10.4,17.8,,,,608.0,,,,
,497.0,61.4,10.7,,,,802.0,,,,
,168.0,66.1,33.3,,,,198.0,,,,
,250.0,45.0,19.8,,,,639.0,,,,
,446.0,54.7,22.4,,,,559.0,,,,
,255.0,81.0,15.8,,,,299.0,,,,
,227.0,24.1,36.0,,,,623.0,,,,
,103.0,74.4,9.9,,,,516.0,,,,
,279.0,7.6,3.2,,,,265.0,,,,
,109.0,72.5,49.5,,,,528.0,,,,
,515.0,92.3,3.5,,,,581.0,,,,
,80.0,78.7,19.5,,,,987.0,,,,
,180.0,85.8,34.9,,,,171.0,,,,
,546.0,84.9,46.2,,,,158.0,,,,
,321.0,27.8,18.9,,,,378.0,,,,
,174.0,95.0,29.7,,,,314.0,,,,
,226.0,53.3,34.0,,,,635.0,,,,
,491.0,98.6,40.1,,,,886.0,,,,
,597.0,86.6,36.0,,,,939.0,,,,
,434.0,91.3,37.6,,,,417.0,,,,
,548.0,97.1,20.6,,,,279.0,,,,
,113.0,22.4,39.1,,,,938.0,,,,
,530.0,89.8,43.8,,,,146.0,,,,
,425.0,18.5,48.1,,,,182.0,,,,
,253.0,17.7,7.1,,,,642.0,,,,
,349.0,65.1,5.7,,,,894.0,,,,
,389.0,30.8,2.7,,,,524.0,,,,
,543.0,99.0,19.0,,,,646.0,,,,
,380.0,5.7,28.7,,,,331.0,,,,
,510.0,31.3,3.5,,,,279.0,,,,
,252.0,98.5,16.2,,,,819.0,,,,
,328.0,77.2,19.0,,,,951.0,,,,
,63.0,97.7,37.8,,,,974.0,,,,
,78.0,77.6,19.2,,,,743.0,,,,
,375.0,88.9,34.3,,,,79.0,,,,
,378.0,73.7,31.5,,,,901.0,,,,
,335.0,9.9,9.4,,,,147.0,,,,
,274.0,70.8,36.7,,,,863.0,,,,
,149.0,48.1,7.3,,,,427.0,,,,
,333.0,70.8,32.3,,,,540.0,,,,
,484.0,58.2,19.6,,,,289.0,,,,
,165.0,60.4,50.0,,,,165.0,,,,
,404.0,7.9,23.8,,,,995.0,,,,
,387.0,93.8,10.7,,,,495.0,,,,
,238.0,62.1,46.5,,,,639.0,,,,
,215.0,29.8,3.0,,,,50.0,,,,
,276.0,41.4,6.2,,,,716.0,,,,
,373.0,49.1,1.5,,,,824.0,,,,
,409.0,15.6,15.2,,,,554.0,,,,
,502.0,76.5,36.8,,,,445.0,,,,
,368.0,94.5,31.8,,,,536.0,,,,
,366.0,93.0,43.0,,,,795.0,,,,
,222.0,54.0,9.9,,,,792.0,,,,
,348.0,21.2,16.8,,,,568.0,,,,
,549.0,82.9,11.9,,,,404.0,,,,
,572.0,79.9,28.6,,,,745.0,,,,
,158.0,48.1,18.4,,,,803.0,,,,
,164.0,40.0,16.5,,,,518.0,,,,
,331.0,92.4,5.6,,,,185.0,,,,
,564.0,92.5,10.1,,,,479.0,,,,
,303.0,73.3,10.8,,,,764.0,,,,
,287.0,11.0,27.4,,,,433.0,,,,
,201.0,87.2,14.7,,,,720.0,,,,
,571.0,49.3,44.1,,,,376.0,,,,
,259.0,53.6,18.2,,,,980.0,,,,
,285.0,7.0,10.2,,,,853.0,,,,
,361.0,19.5,27.7,,,,95.0,,,,
,242.0,99.6,22.3,,,,81.0,,,,
,469.0,26.9,33.4,,,,200.0,,,,
,437.0,13.3,30.2,,,,353.0,,,,
,108.0,11.7,43.1,,,,681.0,,,,
,71.0,11.7,5.8,,,,696.0,,,,
,519.0,21.5,35.3,,,,500.0,,,,
,106.0,8.2,48.0,,,,763.0,,,,
,391.0,6.8,39.5,,,,881.0,,,,
,433.0,95.7,26.5,,,,144.0,,,,
,561.0,75.7,12.9,,,,447.0,,,,
,302.0,12.0,23.2,,,,682.0,,,,
,373.0,21.2,41.8,,,,434.0,,,,
,446.0,55.1,9.7,,,,708.0,,,,
,426.0,7.4,8.6,,,,683.0,,,,
,95.0,26.4,24.2,,,,478.0,,,,
,188.0,24.6,23.8,,,,915.0,,,,
,129.0,85.3,15.2,,,,793.0,,,,
,419.0,17.5,7.4,,,,393.0,,,,
,311.0,69.3,32.6,,,,293.0,,,,
,189.0,63.4,29.2,,,,789.0,,,,
,308.0,43.9,21.7,,,,726.0,,,,
,84.0,71.9,10.2,,,,637.0,,,,
,551.0,49.8,10.2,,,,784.0,,,,
,134.0,77.9,24.6,,,,371.0,,,,
,133.0,8.7,37.3,,,,481.0,,,,
,386.0,16.9,45.0,,,,360.0,,,,
,196.0,84.3,45.4,,,,309.0,,,,
,445.0,9.5,37.8,,,,80.0,,,,
,450.0,49.6,3.4,,,,26.0,,,,
,59.0,48.3,23.9,,,,204.0,,,,
,371.0,43.2,35.5,,,,253.0,,,,
,569.0,98.0,6.3,,,,71.0,,,,
,420.0,41.1,2.2,,,,470.0,,,,
,150.0,95.4,48.8,,,,174.0,,,,
,506.0,73.2,24.4,,,,215.0,,,,
,197.0,22.3,19.4,,,,324.0,,,,
,71.0,23.9,28.3,,,,729.0,,,,
,371.0,13.8,48.6,,,,338.0,,,,
,389.0,86.0,40.5,,,,802.0,,,,
,250.0,44.6,13.1,,,,807.0,,,,
,307.0,26.0,43.4,,,,187.0,,,,
,495.0,64.3,16.3,,,,623.0,,,,
,133.0,94.2,20.1,,,,245.0,,,,
,50.0,96.8,28.9,,,,217.0,,,,
,456.0,64.0,26.1,,,,426.0,,,,
,373.0,54.9,17.2,,,,626.0,,,,
,95.0,30.2,19.6,,,,169.0,,,,
,115.0,33.5,25.8,,,,444.0,,,,
,528.0,69.9,6.6,,,,296.0,,,,
,226.0,90.0,17.0,,,,921.0,,,,
,68.0,48.5,47.4,,,,239.0,,,,
,270.0,9.0,10.8,,,,52.0,,,,
,311.0,93.2,12.6,,,,618.0,,,,
,439.0,34.8,46.9,,,,983.0,,,,
,532.0,98.4,43.0,,,,29.0,,,,
,446.0,31.2,47.3,,,,270.0,,,,
,330.0,78.9,5.6,,,,850.0,,,,
,500.0,97.5,25.4,,,,242.0,,,,
,78.0,78.3,41.2,,,,361.0,,,,
,276.0,91.6,12.8,,,,307.0,,,,
,514.0,33.5,10.4,,,,566.0,,,,
,352.0,57.1,40.3,,,,447.0,,,,
,528.0,13.5,29.6,,,,704.0,,,,
,423.0,50.1,3.4,,,,201.0,,,,
,221.0,92.6,20.7,,,,232.0,,,,
,146.0,23.2,31.3,,,,490.0,,,,
,64.0,92.1,11.6,,,,744.0,,,,
,476.0,57.5,29.6,,,,825.0,,,,
,297.0,40.5,45.9,,,,584.0,,,,
,445.0,21.7,12.9,,,,131.0,,,,
,425.0,73.2,42.7,,,,628.0,,,,
,488.0,77.8,1.2,,,,610.0,,,,
,359.0,69.6,31.9,,,,153.0,,,,
,497.0,40.1,12.4,,,,32.0,,,,
,423.0,18.8,13.8,,,,821.0,,,,
,343.0,79.3,23.8,,,,303.0,,,,
,245.0,29.2,7.4,,,,40.0,,,,
,568.0,43.4,25.0,,,,973.0,,,,
,534.0,68.0,5.9,,,,528.0,,,,
,328.0,41.7,23.1,,,,913.0,,,,
,594.0,49.5,22.2,,,,459.0,,,,
,148.0,20.5,36.8,,,,706.0,,,,
,438.0,31.2,9.1,,,,682.0,,,,
,575.0,53.0,12.4,,,,246.0,,,,
,323.0,26.4,7.2,,,,738.0,,,,
,148.0,60.6,1.9,,,,217.0,,,,
,416.0,70.4,31.8,,,,190.0,,,,
,363.0,86.1,21.1,,,,159.0,,,,
,246.0,18.4,36.7,,,,686.0,,,,
,200.0,82.8,28.9,,,,776.0,,,,
,407.0,14.7,47.0,,,,684.0,,,,
,420.0,89.0,6.8,,,,932.0,,,,
,421.0,41.0,20.8,,,,572.0,,,,
,321.0,52.2,40.8,,,,289.0,,,,
,529.0,95.3,13.7,,,,871.0,,,,
,127.0,47.5,44.1,,,,867.0,,,,
,255.0,62.8,37.0,,,,376.0,,,,
,70.0,30.4,48.9,,,,903.0,,,,
,589.0,86.3,1.0,,,,119.0,,,,
,287.0,82.1,4.2,,,,624.0,,,,
,91.0,5.7,45.3,,,,920.0,,,,
,258.0,25.5,18.1,,,,48.0,,,,
,286.0,12.0,28.2,,,,934.0,,,,
,318.0,50.6,35.6,,,,432.0,,,,
,588.0,49.2,31.4,,,,409.0,,,,
,185.0,99.9,36.0,,,,106.0,,,,
,455.0,7.3,4.9,,,,995.0,,,,
,96.0,38.9,12.9,,,,921.0,,,,
,178.0,74.7,21.0,,,,403.0,,,,
,248.0,68.7,10.9,,,,15.0,,,,
,392.0,67.3,30.2,,,,707.0,,,,
,452.0,82.6,6.7,,,,785.0,,,,
,250.0,19.1,47.1,,,,686.0,,,,
,397.0,90.6,22.5,,,,775.0,,,,
,459.0,21.1,40.5,,,,77.0,,,,
,544.0,70.9,40.0,,,,936.0,,,,
,69.0,31.2,23.7,,,,575.0,,,,
,580.0,39.1,2.2,,,,195.0,,,,
,456.0,50.7,12.7,,,,221.0,,,,
,346.0,72.8,23.8,,,,450.0,,,,
,481.0,83.2,32.0,,,,983.0,,,,
,66.0,71.6,13.8,,,,952.0,,,,
,208.0,62.0,6.3,,,,71.0,,,,
,348.0,25.6,14.7,,,,216.0,,,,
,578.0,16.0,41.7,,,,116.0,,,,
,160.0,45.4,9.4,,,,279.0,,,,
,252.0,16.5,15.6,,,,469.0,,,,
,328.0,47.7,3.5,,,,286.0,,,,
,80.0,47.1,21.3,,,,575.0,,,,
,261.0,79.1,48.0,,,,400.0,,,,
,164.0,76.4,31.0,,,,984.0,,,,
,434.0,51.8,26.7,,,,593.0,,,,
,257.0,19.9,19.2,,,,281.0,,,,
,383.0,8.3,32.6,,,,86.0,,,,
,273.0,73.7,19.2,,,,742.0,,,,
,472.0,80.4,20.5,,,,446.0,,,,
,190.0,69.5,35.1,,,,146.0,,,,
,566.0,19.3,6.6,,,,959.0,,,,
,464.0,60.8,14.8,,,,818.0,,,,
,599.0,73.6,23.4,,,,609.0,,,,
,386.0,51.3,10.7,,,,723.0,,,,
,78.0,6.5,14.0,,,,384.0,,,,
,100.0,95.4,47.4,,,,200.0,,,,
,446.0,8.9,22.3,,,,361.0,,,,
,555.0,99.1,20.4,,,,681.0,,,,
,193.0,72.8,19.8,,,,208.0,,,,
,506.0,7.7,26.9,,,,37.0,,,,
,297.0,23.6,4.3,,,,49.0,,,,
,304.0,10.0,2.2,,,,337.0,,,,
,529.0,70.9,12.8,,,,937.0,,,,
,70.0,38.4,35.3,,,,672.0,,,,
,359.0,99.3,14.0,,,,269.0,,,,
,437.0,73.9,2.2,,,,998.0,,,,
,471.0,70.8,40.4,,,,359.0,,,,
,497.0,5.7,22.7,,,,564.0,,,,
,277.0,77.9,14.9,,,,900.0,,,,
,441.0,80.7,46.2,,,,959.0,,,,
,290.0,68.7,14.1,,,,865.0,,,,
,421.0,95.3,37.6,,,,444.0,,,,
,224.0,57.8,31.7,,,,759.0,,,,
,321.0,99.1,44.9,,,,478.0,,,,
,409.0,36.2,19.9,,,,695.0,,,,
,493.0,14.1,32.0,,,,67.0,,,,
,520.0,99.4,12.7,,,,512.0,,,,
,107.0,43.2,3.7,,,,188.0,,,,
,444.0,32.8,12.0,,,,402.0,,,,
,549.0,89.0,2.5,,,,54.0,,,,
,485.0,59.4,36.0,,,,56.0,,,,
,158.0,44.3,18.1,,,,137.0,,,,
,515.0,67.7,26.7,,,,839.0,,,,
,214.0,27.9,24.0,,,,87.0,,,,
,385.0,82.6,2.9,,,,307.0,,,,
,446.0,70.3,23.2,,,,781.0,,,,
,310.0,84.4,36.4,,,,721.0,,,,
,114.0,45.9,25.1,,,,627.0,,,,
,409.0,61.2,29.9,,,,733.0,,,,
,315.0,83.8,19.7,,,,551.0,,,,
,542.0,91.4,31.6,,,,521.0,,,,
,225.0,86.5,3.8,,,,234.0,,,,
,147.0,85.8,40.5,,,,259.0,,,,
,375.0,92.3,36.0,,,,409.0,,,,
,115.0,83.0,16.8,,,,316.0,,,,
,394.0,66.9,3.6,,,,869.0,,,,
,195.0,66.8,31.2,,,,729.0,,,,
,314.0,32.6,6.8,,,,768.0,,,,
,292.0,40.3,11.6,,,,350.0,,,,
,199.0,99.9,26.9,,,,237.0,,,,
,95.0,11.1,17.9,,,,65.0,,,,
,463.0,26.0,46.5,,,,145.0,,,,
,229.0,36.0,4.1,,,,875.0,,,,
,74.0,85.4,17.6,,,,627.0,,,,
,414.0,91.0,41.2,,,,489.0,,,,
,265.0,80.6,45.5,,,,704.0,,,,
,570.0,61.2,8.5,,,,408.0,,,,
,579.0,99.9,14.9,,,,530.0,,,,
,63.0,88.4,5.9,,,,779.0,,,,
,128.0,38.0,41.2,,,,7.0,,,,
,305.0,94.3,8.4,,,,526.0,,,,
,400.0,60.1,40.4,,,,487.0,,,,
,280.0,31.8,48.0,,,,691.0,,,,
,172.0,5.0,13.0,,,,590.0,,,,
,304.0,43.5,26.3,,,,876.0,,,,
,176.0,68.8,32.5,,,,823.0,,,,
,474.0,72.2,19.0,,,,238.0,,,,
,511.0,28.4,14.3,,,,172.0,,,,
,408.0,32.0,11.5,,,,811.0,,,,
,156.0,74.1,37.5,,,,550.0,,,,
,345.0,88.1,33.0,,,,820.0,,,,
,264.0,56.4,36.0,,,,225.0,,,,
,384.0,59.3,42.1,,,,223.0,,,,
,138.0,77.8,45.3,,,,780.0,,,,
,155.0,15.5,1.4,,,,497.0,,,,
,339.0,42.4,12.9,,,,412.0,,,,
,296.0,91.1,1.8,,,,16.0,,,,
,106.0,34.2,44.8,,,,416.0,,,,
,460.0,94.8,34.8,,,,785.0,,,,
,568.0,11.4,34.6,,,,399.0,,,,
,535.0,45.1,1.6,,,,709.0,,,,
,71.0,25.3,41.7,,,,885.0,,,,
,190.0,72.7,25.0,,,,991.0,,,,
,209.0,49.2,19.5,,,,903.0,,,,
,539.0,25.1,41.1,,,,381.0,,,,
,392.0,52.5,46.0,,,,568.0,,,,
,290.0,63.7,33.1,,,,938.0,,,,
,560.0,8.3,24.7,,,,774.0,,,,
,81.0,50.4,16.6,,,,433.0,,,,
,281.0,5.1,21.8,,,,729.0,,,,
,106.0,81.4,48.3,,,,174.0,,,,
,307.0,92.5,13.7,,,,519.0,,,,
,442.0,14.2,40.0,,,,638.0,,,,
,553.0,46.8,22.7,,,,956.0,,,,
,255.0,77.4,21.9,,,,152.0,,,,
,249.0,57.8,11.3,,,,961.0,,,,
,162.0,23.4,36.6,,,,987.0,,,,
,426.0,70.1,1.5,,,,547.0,,,,
,547.0,76.9,33.8,,,,16.0,,,,
,366.0,43.9,43.6,,,,814.0,,,,
,250.0,8.6,33.5,,,,744.0,,,,
,127.0,51.5,9.8,,,,252.0,,,,
,588.0,47.2,31.9,,,,866.0,,,,
,546.0,14.9,13.7,,,,682.0,,,,
,309.0,64.7,6.7,,,,183.0,,,,
,95.0,81.2,47.7,,,,479.0,,,,
,567.0,10.1,8.3,,,,203.0,,,,
,299.0,19.8,6.9,,,,191.0,,,,
,296.0,31.0,31.8,,,,396.0,,,,
,340.0,72.6,30.9,,,,249.0,,,,
,146.0,92.4,45.2,,,,248.0,,,,
,171.0,21.4,30.0,,,,935.0,,,,
,463.0,73.7,46.5,,,,984.0,,,,
,496.0,76.2,25.1,,,,781.0,,,,
,301.0,40.9,5.8,,,,971.0,,,,
,72.0,28.4,16.0,,,,370.0,,,,
,286.0,94.4,39.9,,,,935.0,,,,
,512.0,72.9,34.2,,,,706.0,,,,
,158.0,30.0,40.0,,,,405.0,,,,
,438.0,54.5,10.6,,,,433.0,,,,
,364.0,95.9,25.3,,,,246.0,,,,
,59.0,69.9,8.5,,,,872.0,,,,
,499.0,79.2,44.3,,,,8.0,,,,
,357.0,57.0,5.9,,,,627.0,,,,
,595.0,54.2,49.7,,,,227.0,,,,
,493.0,77.5,11.0,,,,792.0,,,,
,505.0,87.4,30.4,,,,833.0,,,,
,112.0,20.1,24.4,,,,355.0,,,,
,374.0,35.6,49.4,,,,197.0,,,,
,491.0,55.0,38.2,,,,696.0,,,,
,194.0,85.1,36.8,,,,357.0,,,,
,180.0,84.5,34.8,,,,982.0,,,,
,506.0,19.2,34.0,,,,164.0,,,,
,123.0,24.3,46.0,,,,640.0,,,,
,421.0,22.7,31.0,,,,297.0,,,,
,476.0,12.8,46.7,,,,368.0,,,,
,256.0,37.0,27.2,,,,717.0,,,,
,120.0,68.0,24.9,,,,211.0,,,,
,196.0,55.0,28.7,,,,121.0,,,,
,185.0,66.3,1.6,,,,691.0,,,,
,355.0,39.0,20.3,,,,882.0,,,,
,599.0,38.1,9.8,,,,187.0,,,,
,178.0,37.8,8.5,,,,79.0,,,,
,168.0,6.8,36.5,,,,241.0,,,,
,383.0,41.2,8.9,,,,821.0,,,,
